rank,fecha_alerta,client_id,familia,tipo_alerta,label_m0,canal,motivo,impacto_estimado,score_prioridad,dias_restantes,estado,provincia,last_order_date,prob_pedido_7d,cusum_score,anomaly_score,anomaly_type,zscore_30d
1,2026-05-10,35934,Familia T1,A4,leal,Delegado,"Anomalía en Familia T1 (score: -0.027). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 193 días sin pedir (media: 80 días). Ratio: 60% del potencial.",2066.34,4649.265,,pendiente,Barcelona,2025-06-19,,,-0.027367672697300005,silencio_excesivo|reduccion_familias_activas,
2,2026-05-10,27995,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 57 días de media. Último pedido hace 94 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,2820.35,4230.525,-41.1,pendiente,Las Palmas,2025-09-26,0.0036,,,,
3,2026-05-10,1000081143,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.082). Tipo: reduccion_familias_activas. Lleva 84 días sin pedir (media: 214 días). Ratio: 115% del potencial.,1835.52,4129.92,,pendiente,Madrid,2025-10-06,,,-0.08205368783166167,reduccion_familias_activas,
4,2026-05-10,39357,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.024). Tipo: patron_anomalo_general. Lleva 76 días sin pedir (media: 273 días). Ratio: 78% del potencial.,1689.7,3801.825,,pendiente,Lleida,2025-10-14,,,-0.02355064637516935,patron_anomalo_general,
5,2026-05-10,35934,Familia T2,A4,leal,Delegado,Anomalía en Familia T2 (score: -0.041). Tipo: reduccion_familias_activas. Lleva 193 días sin pedir (media: 168 días). Ratio: 50% del potencial.,1448.96,3260.16,,pendiente,Barcelona,2025-06-19,,,-0.04109513036823742,reduccion_familias_activas,
6,2026-05-10,2235,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.054). Tipo: patron_anomalo_general. Lleva 6 días sin pedir (media: 174 días). Ratio: 85% del potencial.,1347.4,3031.65,,pendiente,Cantabria,2025-12-23,,,-0.053956603681910686,patron_anomalo_general,
7,2026-05-10,1000078679,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.092). Tipo: patron_anomalo_general. Lleva 88 días sin pedir (media: 74 días). Ratio: 118% del potencial.,1286.22,2893.995,,pendiente,Tarragona,2025-10-02,,,-0.09164303424028541,patron_anomalo_general,
8,2026-05-10,1000082722,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.084). Tipo: reduccion_familias_activas. Lleva 217 días sin pedir (media: 119 días). Ratio: 83% del potencial.,956.7,2152.575,,pendiente,Sta.Cruz Tenerife,2025-05-26,,,-0.08445035793734568,reduccion_familias_activas,
9,2026-05-10,32548,Familia T1,A4,promiscuo,Delegado,Anomalía en Familia T1 (score: -0.103). Tipo: patron_anomalo_general. Lleva 49 días sin pedir (media: 126 días). Ratio: 48% del potencial.,946.55,2129.7375,,pendiente,Navarra,2025-11-10,,,-0.10293148041065725,patron_anomalo_general,
10,2026-05-10,1000057225,Familia T2,A4,leal,Delegado,"Anomalía en Familia T2 (score: -0.229). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 325 días sin pedir (media: 16 días). Ratio: 200% del potencial.",915.36,2059.56,,pendiente,Barcelona,2025-02-07,,,-0.2288376258164203,silencio_excesivo|reduccion_familias_activas,
11,2026-05-10,39298,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.070). Tipo: reduccion_familias_activas. Lleva 173 días sin pedir (media: 145 días). Ratio: 80% del potencial.,879.0,1977.75,,pendiente,Cantabria,2025-07-09,,,-0.07034569799654611,reduccion_familias_activas,
12,2026-05-10,1000069507,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.032). Tipo: patron_anomalo_general. Lleva 10 días sin pedir (media: 135 días). Ratio: 87% del potencial.,877.86,1975.185,,pendiente,Zaragoza,2025-12-19,,,-0.03176228498891842,patron_anomalo_general,
13,2026-05-10,1000065218,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 42 días de media. Último pedido hace 38 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 15%.,1225.99,1838.985,-12.6,pendiente,Jaén,2025-11-21,0.151,,,,
14,2026-05-10,1000078917,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.057). Tipo: reduccion_familias_activas. Lleva 94 días sin pedir (media: 218 días). Ratio: 77% del potencial.,796.5,1792.125,,pendiente,Madrid,2025-09-26,,,-0.05713852140229503,reduccion_familias_activas,
15,2026-05-10,1730,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.016). Tipo: patron_anomalo_general. Lleva 34 días sin pedir (media: 286 días). Ratio: 86% del potencial.,683.8,1538.55,,pendiente,Pontevedra,2025-11-25,,,-0.015812287625541988,patron_anomalo_general,
16,2026-05-10,1000080518,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.100). Tipo: patron_anomalo_general. Lleva 31 días sin pedir (media: 99 días). Ratio: 200% del potencial.,644.45,1450.0125,,pendiente,Barcelona,2025-11-28,,,-0.1003565443965585,patron_anomalo_general,
17,2026-05-10,30618,Familia T2,A4,promiscuo,Delegado,Anomalía en Familia T2 (score: -0.064). Tipo: silencio_excesivo. Lleva 290 días sin pedir (media: 56 días). Ratio: 37% del potencial.,636.64,1432.44,,pendiente,Vizcaya,2025-03-14,,,-0.06391891848945641,silencio_excesivo,
18,2026-05-10,26181,Familia C2,A3,leal,Delegado,Fuga sostenida en Familia C2 (leal). Señales: CUSUM (-7604.02); slope 90d (-760.571). Ratio: 147% del potencial.,587.34,1321.515,,pendiente,La Rioja,2025-12-23,,-7604.0237,,,
19,2026-05-10,27995,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 57 días de media. Último pedido hace 94 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,873.76,1310.64,-44.4,pendiente,Las Palmas,2025-09-26,0.0036,,,,
20,2026-05-10,30661,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 87 días de media. Último pedido hace 74 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 4%.,783.55,1175.325,-7.1,pendiente,Vizcaya,2025-10-16,0.0376,,,,
21,2026-05-10,37271,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 58 días de media. Último pedido hace 70 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 5%.,754.16,1131.24,-12.5,pendiente,Huelva,2025-10-20,0.0451,,,,
22,2026-05-10,41620,Familia T1,A4,leal,Delegado,"Anomalía en Familia T1 (score: -0.109). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 299 días sin pedir (media: 47 días). Ratio: 61% del potencial.",501.11,1127.4975,,pendiente,Badajoz,2025-03-05,,,-0.10864316833991261,silencio_excesivo|reduccion_familias_activas,
23,2026-05-10,38021,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.000). Tipo: patron_anomalo_general. Lleva 7 días sin pedir (media: 101 días). Ratio: 71% del potencial.,470.45,1058.5125,,pendiente,Palencia,2025-12-22,,,-0.0002702762859971841,patron_anomalo_general,
24,2026-05-10,1000068670,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.074). Tipo: reduccion_familias_activas. Lleva 202 días sin pedir (media: 126 días). Ratio: 82% del potencial.,469.86,1057.185,,pendiente,Tarragona,2025-06-10,,,-0.07436350849446871,reduccion_familias_activas,
25,2026-05-10,5115,Familia T2,A4,leal,Delegado,Anomalía en Familia T2 (score: -0.093). Tipo: reduccion_familias_activas. Lleva 94 días sin pedir (media: 267 días). Ratio: 81% del potencial.,452.26,1017.585,,pendiente,León,2025-09-26,,,-0.09267967416296186,reduccion_familias_activas,
26,2026-05-10,1000080597,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.095). Tipo: patron_anomalo_general. Lleva 26 días sin pedir (media: 105 días). Ratio: 53% del potencial.,450.43,1013.4675,,pendiente,Valencia,2025-12-03,,,-0.0951177875816629,patron_anomalo_general,
27,2026-05-10,1000057225,Familia T1,A4,leal,Delegado,"Anomalía en Familia T1 (score: -0.197). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 325 días sin pedir (media: 29 días). Ratio: 200% del potencial.",439.98,989.955,,pendiente,Barcelona,2025-02-07,,,-0.19726533303223226,silencio_excesivo|reduccion_familias_activas,
28,2026-05-10,36706,Familia T2,A4,leal,Delegado,Anomalía en Familia T2 (score: -0.056). Tipo: patron_anomalo_general. Lleva 6 días sin pedir (media: 59 días). Ratio: 81% del potencial.,432.47,973.0575,,pendiente,A Coruña,2025-12-23,,,-0.05591925496147243,patron_anomalo_general,
