rank,fecha_alerta,client_id,familia,tipo_alerta,label_m0,canal,motivo,impacto_estimado,score_prioridad,dias_restantes,estado,provincia,last_order_date,prob_pedido_7d,cusum_score,anomaly_score,anomaly_type,zscore_30d
1,2026-05-10,35934,Familia T1,A4,leal,Delegado,"Anomalía en Familia T1 (score: -0.027). Tipo: silencio_excesivo, reduccion_familias_activas. Lleva 193 días sin pedir (media: 80 días). Ratio: 60% del potencial.",2066.34,4649.265,,pendiente,Barcelona,2025-06-19,,,-0.0273676726973,silencio_excesivo|reduccion_familias_activas,
2,2026-05-10,27995,Familia C2,A1,leal,Televendedor,Cliente leal. Pide Familia C2 cada 57 días de media. Último pedido hace 94 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 0%.,2820.35,4230.525,-41.1,pendiente,Las Palmas,2025-09-26,0.0036,,,,
3,2026-05-10,1000081143,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.082). Tipo: reduccion_familias_activas. Lleva 84 días sin pedir (media: 214 días). Ratio: 115% del potencial.,1835.52,4129.92,,pendiente,Madrid,2025-10-06,,,-0.0820536878316616,reduccion_familias_activas,
4,2026-05-10,39357,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.024). Tipo: patron_anomalo_general. Lleva 76 días sin pedir (media: 273 días). Ratio: 78% del potencial.,1689.7,3801.825,,pendiente,Lleida,2025-10-14,,,-0.0235506463751693,patron_anomalo_general,
5,2026-05-10,35934,Familia T2,A4,leal,Delegado,Anomalía en Familia T2 (score: -0.041). Tipo: reduccion_familias_activas. Lleva 193 días sin pedir (media: 168 días). Ratio: 50% del potencial.,1448.96,3260.16,,pendiente,Barcelona,2025-06-19,,,-0.0410951303682374,reduccion_familias_activas,
6,2026-05-10,2235,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.054). Tipo: patron_anomalo_general. Lleva 6 días sin pedir (media: 174 días). Ratio: 85% del potencial.,1347.4,3031.65,,pendiente,Cantabria,2025-12-23,,,-0.0539566036819106,patron_anomalo_general,
7,2026-05-10,1000078679,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.092). Tipo: patron_anomalo_general. Lleva 88 días sin pedir (media: 74 días). Ratio: 118% del potencial.,1286.22,2893.995,,pendiente,Tarragona,2025-10-02,,,-0.0916430342402854,patron_anomalo_general,
8,2026-05-10,1000082722,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.084). Tipo: reduccion_familias_activas. Lleva 217 días sin pedir (media: 119 días). Ratio: 83% del potencial.,956.7,2152.575,,pendiente,Sta.Cruz Tenerife,2025-05-26,,,-0.0844503579373456,reduccion_familias_activas,
9,2026-05-10,32548,Familia T1,A4,promiscuo,Delegado,Anomalía en Familia T1 (score: -0.103). Tipo: patron_anomalo_general. Lleva 49 días sin pedir (media: 126 días). Ratio: 48% del potencial.,946.55,2129.7375,,pendiente,Navarra,2025-11-10,,,-0.1029314804106572,patron_anomalo_general,
10,2026-05-10,39298,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.070). Tipo: reduccion_familias_activas. Lleva 173 días sin pedir (media: 145 días). Ratio: 80% del potencial.,879.0,1977.75,,pendiente,Cantabria,2025-07-09,,,-0.0703456979965461,reduccion_familias_activas,
11,2026-05-10,1000069507,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.032). Tipo: patron_anomalo_general. Lleva 10 días sin pedir (media: 135 días). Ratio: 87% del potencial.,877.86,1975.185,,pendiente,Zaragoza,2025-12-19,,,-0.0317622849889184,patron_anomalo_general,
12,2026-05-10,1000065218,Familia C1,A1,leal,Televendedor,Cliente leal. Pide Familia C1 cada 42 días de media. Último pedido hace 38 días. Próximo pedido estimado en 0 días. Prob. pedido 7d: 15%.,1225.99,1838.985,-12.6,pendiente,Jaén,2025-11-21,0.151,,,,
13,2026-05-10,1000078917,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.057). Tipo: reduccion_familias_activas. Lleva 94 días sin pedir (media: 218 días). Ratio: 77% del potencial.,796.5,1792.125,,pendiente,Madrid,2025-09-26,,,-0.057138521402295,reduccion_familias_activas,
14,2026-05-10,1730,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.016). Tipo: patron_anomalo_general. Lleva 34 días sin pedir (media: 286 días). Ratio: 86% del potencial.,683.8,1538.55,,pendiente,Pontevedra,2025-11-25,,,-0.0158122876255419,patron_anomalo_general,
15,2026-05-10,1000080518,Familia T1,A4,leal,Delegado,Anomalía en Familia T1 (score: -0.100). Tipo: patron_anomalo_general. Lleva 31 días sin pedir (media: 99 días). Ratio: 200% del potencial.,644.45,1450.0125,,pendiente,Barcelona,2025-11-28,,,-0.1003565443965585,patron_anomalo_general,
