clinic_id,familia,label_m0,cluster_id,en_transicion
26,Familia C1,marginal,1,False
26,Familia C1,marginal,1,False
26,Familia C1,marginal,1,False
26,Familia C1,marginal,1,False
26,Familia C1,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia C2,marginal,1,False
30,Familia C2,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia C2,marginal,1,False
30,Familia T2,marginal,1,False
30,Familia C2,marginal,1,False
30,Familia T1,marginal,1,False
30,Familia T2,marginal,1,False
66,Familia C1,marginal,1,False
66,Familia C1,marginal,1,False
66,Familia C1,marginal,1,False
66,Familia C1,marginal,1,False
66,Familia C1,marginal,1,False
66,Familia C1,marginal,1,False
66,Familia C1,marginal,1,False
66,Familia C1,marginal,1,False
69,Familia T1,promiscuo,1,False
69,Familia T2,marginal,1,False
69,Familia T1,promiscuo,1,False
69,Familia T1,promiscuo,1,False
69,Familia T2,marginal,1,False
69,Familia C2,marginal,2,False
69,Familia T1,promiscuo,1,False
69,Familia C2,marginal,2,False
69,Familia T1,promiscuo,1,False
69,Familia T2,marginal,1,False
69,Familia T1,promiscuo,1,False
69,Familia T2,marginal,1,False
69,Familia C2,marginal,2,False
69,Familia T1,promiscuo,1,False
69,Familia T2,marginal,1,False
69,Familia C2,marginal,2,False
69,Familia T1,promiscuo,1,False
69,Familia T1,promiscuo,1,False
69,Familia C2,marginal,2,False
69,Familia T1,promiscuo,1,False
69,Familia T2,marginal,1,False
69,Familia C2,marginal,2,False
69,Familia C2,marginal,2,False
69,Familia T1,promiscuo,1,False
69,Familia C2,marginal,2,False
69,Familia T1,promiscuo,1,False
69,Familia C2,marginal,2,False
69,Familia T2,marginal,1,False
69,Familia T1,promiscuo,1,False
69,Familia T2,marginal,1,False
69,Familia T1,promiscuo,1,False
69,Familia T1,promiscuo,1,False
69,Familia C2,marginal,2,False
69,Familia T1,promiscuo,1,False
69,Familia C2,marginal,2,False
69,Familia T1,promiscuo,1,False
69,Familia T2,marginal,1,False
69,Familia C2,marginal,2,False
96,Familia T1,marginal,2,False
96,Familia T1,marginal,2,False
96,Familia T1,marginal,2,False
96,Familia T1,marginal,2,False
