Id.Cliente,Familia,Categoria Productos,Potencial
3,Anestesia,Categoria C1,2223.12
3,Biomateriales,Categoria C2,5338
3,Bioseguridad,Categoria C2,1086.44
26,Anestesia,Categoria C1,2223.12
26,Biomateriales,Categoria C2,5338
26,Bioseguridad,Categoria C2,1086.44
30,Anestesia,Categoria C1,2223.12
30,Biomateriales,Categoria C2,8324.140000000001
30,Bioseguridad,Categoria C2,1086.44
46,Anestesia,Categoria C1,4546.72
46,Biomateriales,Categoria C2,0
46,Bioseguridad,Categoria C2,2223.12
64,Anestesia,Categoria C1,2223.12
64,Biomateriales,Categoria C2,5338
64,Bioseguridad,Categoria C2,1086.44
66,Anestesia,Categoria C1,3410.04
66,Biomateriales,Categoria C2,13872.52
66,Bioseguridad,Categoria C2,1667.3400000000001
69,Anestesia,Categoria C1,2223.12
69,Biomateriales,Categoria C2,5338
69,Bioseguridad,Categoria C2,1086.44
96,Anestesia,Categoria C1,3410.04
96,Biomateriales,Categoria C2,8007
96,Bioseguridad,Categoria C2,1667.3400000000001
100,Anestesia,Categoria C1,2223.12
100,Biomateriales,Categoria C2,5338
100,Bioseguridad,Categoria C2,1086.44
109,Anestesia,Categoria C1,3410.04
109,Biomateriales,Categoria C2,6474.68
109,Bioseguridad,Categoria C2,1667.3400000000001
118,Anestesia,Categoria C1,3410.04
118,Biomateriales,Categoria C2,9247.300000000001
118,Bioseguridad,Categoria C2,1667.3400000000001
119,Anestesia,Categoria C1,3410.04
119,Biomateriales,Categoria C2,8007
119,Bioseguridad,Categoria C2,1667.3400000000001
123,Anestesia,Categoria C1,5683.400000000001
123,Biomateriales,Categoria C2,13345
123,Bioseguridad,Categoria C2,2778.9
132,Anestesia,Categoria C1,2223.12
132,Biomateriales,Categoria C2,0
132,Bioseguridad,Categoria C2,1086.44
142,Anestesia,Categoria C1,3410.04
142,Biomateriales,Categoria C2,5548.38
142,Bioseguridad,Categoria C2,1667.3400000000001
148,Anestesia,Categoria C1,2223.12
148,Biomateriales,Categoria C2,0
148,Bioseguridad,Categoria C2,1086.44
149,Anestesia,Categoria C1,2223.12
149,Biomateriales,Categoria C2,5338
149,Bioseguridad,Categoria C2,1086.44
163,Anestesia,Categoria C1,2223.12
163,Biomateriales,Categoria C2,5338
163,Bioseguridad,Categoria C2,1086.44
171,Anestesia,Categoria C1,3410.04
171,Biomateriales,Categoria C2,8007
171,Bioseguridad,Categoria C2,1667.3400000000001
188,Anestesia,Categoria C1,2223.12
188,Biomateriales,Categoria C2,0
188,Bioseguridad,Categoria C2,1086.44
191,Anestesia,Categoria C1,2223.12
191,Biomateriales,Categoria C2,5338
191,Bioseguridad,Categoria C2,1086.44
200,Anestesia,Categoria C1,2223.12
200,Biomateriales,Categoria C2,0
200,Bioseguridad,Categoria C2,1086.44
231,Anestesia,Categoria C1,3410.04
231,Biomateriales,Categoria C2,0
231,Bioseguridad,Categoria C2,1667.3400000000001
238,Anestesia,Categoria C1,4546.72
238,Biomateriales,Categoria C2,3975.2400000000002
238,Bioseguridad,Categoria C2,2223.12
255,Anestesia,Categoria C1,3410.04
